player_id,uniform_number,name,team,position,birth_day,height,weight,school,player_id,평균자책점,경기,완투,완봉,승리,패배,세이브,홀드,승률,타자수,투구수,이닝,피안타,2루타,3루타,홈런,희생번트,희생플라이,볼넷,고의4구,삼진,폭투,보크,실점,자책점,블론세이브,이닝당 출루허용률,피안타율,퀄리티스타트
53006,99.0,강건,KT,투수,2004-07-12,183,85,원일초(영통구리틀)-매향중-장안고,53006,24.55,2,0,0,0,1,0,0,0.0,26,104,3.6666666666666665,7,2,0,1,2,2,7,0,1,0,0,10,10,0,3.82,0.5,0
53139,39.0,박명근,LG,투수,2004-03-27,174,75,수택초(구리리틀)-구리인창중-라온고,53139,4.89,44,0,0,3,4,4,10,0.429,168,638,38.666666666666664,36,5,1,5,2,1,16,2,30,0,1,21,21,1,1.34,0.25,0
53164,99.0,김동규,키움,투수,2004-07-09,194,100,서울청구초-영남중-성남고-LG,53164,6.75,9,0,0,0,0,0,0,0.0,49,203,8.0,13,1,0,2,0,0,11,0,10,4,0,11,6,0,3.0,0.342,0
53259,41.0,최준호,두산,투수,2004-06-03,188,90,온양온천초-온양중-북일고,53259,8.44,9,0,0,1,2,0,0,0.333,74,305,16.0,18,5,0,4,0,1,9,0,11,2,0,15,15,0,1.69,0.29,0
53262,20.0,김유성,두산,투수,2002-01-01,190,98,김해삼성초-내동중-김해고-고려대(얼리 드래프트),53262,8.83,7,0,0,0,2,0,0,0.0,85,385,17.333333333333332,17,2,0,3,0,0,14,0,22,1,0,17,17,0,1.79,0.254,0
53301,35.0,박윤성,키움,투수,2004-02-08,183,96,부산수영초-개성중-경남고,53301,4.53,54,0,0,0,5,1,6,0.0,226,905,51.666666666666664,55,12,0,9,3,0,19,0,40,4,1,31,26,3,1.43,0.271,0
53375,75.0,후라도,삼성,투수,1996-01-30,188,109,파나마 San Judas Tadeo(고)-키움,53375,2.6,30,3,2,15,8,0,0,0.652,786,2921,197.33333333333334,177,17,3,17,5,1,36,0,142,3,0,65,57,0,1.08,0.239,23
53455,1.0,이호성,삼성,투수,2004-08-14,184,87,도원초(부천소사리틀)-동인천중-인천고,53455,6.34,58,0,0,7,4,9,3,0.636,252,1032,55.333333333333336,54,7,2,7,3,4,29,0,69,0,1,44,39,4,1.5,0.252,0
53609,0.0,곽도규,KIA,투수,2004-04-12,185,90,도척초-공주중-공주고,53609,13.5,9,0,0,0,0,0,3,0.0,22,99,4.0,3,0,0,0,0,0,6,0,5,1,0,6,6,1,2.25,0.214,0
53613,13.0,윤영철,KIA,투수,2004-04-20,187,87,창서초(서대문구리틀)-충암중-충암고,53613,5.58,13,0,0,2,7,0,0,0.222,227,888,50.0,52,7,0,4,1,2,30,0,43,4,0,37,31,0,1.64,0.269,1
53615,66.0,이도현,KIA,투수,2005-01-07,188,90,가동초-휘문중-휘문고,53615,6.92,6,0,0,1,1,0,0,0.5,65,242,13.0,17,5,0,1,0,1,8,0,9,1,0,11,10,0,1.92,0.309,0
53754,44.0,김서현,한화,투수,2004-05-31,188,86,효제초-자양중-서울고,53754,3.14,69,0,0,2,4,33,2,0.333,280,1124,66.0,52,7,3,4,5,2,31,3,71,7,0,23,23,4,1.26,0.222,0
53892,92.0,이로운,SSG,투수,2004-09-11,185,105,본리초-경복중-대구고,53892,1.99,75,0,0,6,5,1,33,0.545,305,1261,77.0,56,4,1,7,4,3,26,5,66,2,0,19,17,1,1.06,0.206,0
53898,28.0,송영진,SSG,투수,2004-05-28,185,90,대전유천초-한밭중-대전고,53898,5.83,21,0,0,2,5,0,0,0.286,288,1070,63.333333333333336,77,5,1,10,3,4,31,1,40,2,0,45,41,0,1.71,0.312,1
53919,43.0,신영우,NC,투수,2004-04-21,182,84,센텀초-센텀중-경남고,53919,7.53,8,0,0,1,3,0,0,0.25,68,307,14.333333333333334,8,2,0,2,1,2,16,0,19,4,0,13,12,0,1.67,0.174,0
53973,20.0,목지훈,NC,투수,2004-05-11,181,83,효제초-청량중-신일고,53973,6.05,16,0,0,3,5,0,0,0.375,280,1115,58.0,68,8,3,6,2,3,42,1,45,9,2,42,39,0,1.9,0.298,1
54063,63.0,원상현,KT,투수,2004-10-16,183,83,가산초(부산진구리틀)-개성중-부산고,54063,5.21,52,0,0,0,3,0,14,0.0,259,1009,57.0,56,10,0,8,2,3,35,3,45,4,0,35,33,0,1.6,0.257,0
54119,,에르난데스,LG,투수,1995-05-03,185,97,베네수엘라 U.E.N Monsenor Perez Leon(고)-LG,54119,4.23,14,0,0,4,4,0,0,0.5,276,1142,66.0,53,14,0,7,0,5,24,0,73,3,0,32,31,0,1.17,0.219,7
54263,63.0,김택연,두산,투수,2005-06-03,181,88,동막초-상인천중-인천고,54263,3.53,64,0,0,4,5,24,0,0.444,281,1151,66.33333333333333,47,6,0,6,4,1,31,2,79,5,0,31,26,9,1.18,0.196,0
54319,19.0,김윤하,키움,투수,2005-03-07,185,90,와부초(남양주리틀)-덕수중-장충고,54319,6.14,19,0,0,0,12,0,0,0.0,422,1645,88.0,113,18,2,16,5,4,44,1,52,2,0,76,60,1,1.78,0.309,4
54354,65.0,헤이수스,KT,투수,1996-12-10,192,104,베네수엘라 Juanita Hernandez(고)-키움,54354,3.96,32,0,0,9,9,0,1,0.5,712,2716,163.66666666666666,173,22,2,17,8,3,44,0,165,7,2,85,72,0,1.33,0.267,15
54362,62.0,전준표,키움,투수,2005-05-07,186,90,잠일초(강동구리틀)-잠신중-서울고,54362,8.85,21,0,0,2,2,0,1,0.5,114,400,20.333333333333332,33,8,0,2,3,1,19,3,15,3,0,22,20,0,2.56,0.375,0
54363,63.0,손현기,키움,투수,2005-10-22,188,88,순천북초-순천이수중-전주고,54363,15.0,2,0,0,0,0,0,0,0.0,18,78,3.0,4,1,0,1,0,0,6,0,1,1,0,5,5,0,3.33,0.364,0
54368,68.0,김연주,키움,투수,2004-02-27,175,75,대전신흥초-충남중-세광고,54368,6.62,20,0,0,1,3,0,0,0.25,250,939,51.666666666666664,67,14,2,10,2,5,25,2,28,0,0,40,38,0,1.78,0.316,0
54401,44.0,김대호,삼성,투수,2001-10-15,185,100,제주신광초-이평중-군산상고-고려대,54401,5.14,11,0,0,0,1,0,0,0.0,105,392,21.0,25,6,0,3,1,2,15,0,19,1,0,13,12,0,1.9,0.291,0
54404,4.0,육선엽,삼성,투수,2005-07-13,190,90,백마초-서울신월중-장충고,54404,5.34,27,0,0,0,1,0,1,0.0,133,564,28.666666666666668,23,3,0,4,3,0,24,0,19,2,0,21,17,0,1.64,0.217,0
54443,,레예스,삼성,투수,1996-11-02,198,113,도미니카 Melida Altagracia Baez(고)-삼성,54443,4.14,10,0,0,4,3,0,0,0.571,215,844,50.0,51,7,1,5,3,4,12,0,35,0,0,26,23,0,1.26,0.264,2
54467,49.0,정민성,삼성,투수,2005-05-09,184,98,군산중앙초-군산중-군산상일고,54467,36.0,1,0,0,0,1,0,0,0.0,7,23,1.0,3,2,1,0,0,0,0,0,0,1,0,4,4,0,3.0,0.6,0
54503,58.0,박준우,롯데,투수,2005-05-27,190,94,상동초(부천시리틀)-부천중-유신고,54503,8.03,11,0,0,1,2,0,1,0.333,64,238,12.333333333333334,21,3,1,0,0,0,6,0,11,0,0,11,11,1,2.19,0.368,0
54537,57.0,정현수,롯데,투수,2001-05-10,180,84,부산대연초-부산중-부산고-송원대,54537,3.97,82,0,0,2,0,0,12,1.0,203,851,47.666666666666664,34,9,0,4,3,3,26,0,47,2,0,23,21,0,1.26,0.201,0
54608,,김민재,KIA,투수,2003-07-08,188,85,효제초-청량중-신일고-동원과학기술대-KIA-상무,54608,0.0,1,0,0,0,0,0,0,0.0,8,21,2.0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.25,0
54610,65.0,성영탁,KIA,투수,2004-07-28,180,89,동주초(부산서구리틀)-개성중-부산고,54610,1.55,45,0,0,3,2,0,7,0.6,198,753,52.333333333333336,38,6,0,2,2,1,13,0,30,1,0,11,9,0,0.97,0.209,0
54640,40.0,네일,KIA,투수,1993-02-08,193,83,미국 Alabama at Birmingham(대),54640,2.25,27,0,0,8,4,0,0,0.667,664,2521,164.33333333333334,135,18,1,6,7,2,41,0,152,4,0,46,41,0,1.07,0.225,19
